Time of transfer,Sender IP,Receiver IP,Goodput (Mb/s)
2016-01-25 15:33:24,130.216.31.108,202.36.29.35,38
2016-01-25 15:33:25,130.216.31.108,202.36.29.35,50
2016-01-25 15:33:26,130.216.31.108,202.36.29.35,63
2016-01-25 15:33:27,130.216.31.108,202.36.29.35,56
2016-01-25 15:33:28,130.216.31.108,202.36.29.35,65
2016-01-25 15:33:29,130.216.31.108,202.36.29.35,70
2016-01-25 15:33:30,130.216.31.108,202.36.29.35,70
2016-01-25 15:33:31,130.216.31.108,202.36.29.35,71
2016-01-25 15:33:32,130.216.31.108,202.36.29.35,72
2016-01-25 15:33:33,130.216.31.108,202.36.29.35,67
2016-01-25 15:33:34,130.216.31.108,202.36.29.35,54
2016-01-25 15:33:35,130.216.31.108,202.36.29.35,58
2016-01-25 15:33:36,130.216.31.108,202.36.29.35,65
2016-01-25 15:33:37,130.216.31.108,202.36.29.35,67
2016-01-25 15:33:38,130.216.31.108,202.36.29.35,72
2016-01-25 15:33:39,130.216.31.108,202.36.29.35,65
2016-01-25 15:33:40,130.216.31.108,202.36.29.35,70
2016-01-25 15:33:41,130.216.31.108,202.36.29.35,72
2016-01-25 15:33:42,130.216.31.108,202.36.29.35,65
2016-01-25 15:33:43,130.216.31.108,202.36.29.35,60
2016-01-25 15:33:44,130.216.31.108,202.36.29.35,65
2016-01-25 15:33:45,130.216.31.108,202.36.29.35,66
2016-01-25 15:33:46,130.216.31.108,202.36.29.35,99
2016-01-25 15:33:47,130.216.31.108,202.36.29.35,7
2016-01-25 15:33:48,130.216.31.108,202.36.29.35,60
2016-01-25 15:33:49,130.216.31.108,202.36.29.35,32
2016-01-25 15:33:50,130.216.31.108,202.36.29.35,46
2016-01-25 15:33:51,130.216.31.108,202.36.29.35,48
2016-01-25 15:33:52,130.216.31.108,202.36.29.35,75
2016-01-25 15:33:53,130.216.31.108,202.36.29.35,103
2016-01-25 15:33:54,130.216.31.108,202.36.29.35,56
2016-01-25 15:33:55,130.216.31.108,202.36.29.35,97
2016-01-25 15:33:56,130.216.31.108,202.36.29.35,25
2016-01-25 15:33:57,130.216.31.108,202.36.29.35,95
2016-01-25 15:33:58,130.216.31.108,202.36.29.35,57
2016-01-25 15:33:59,130.216.31.108,202.36.29.35,80
2016-01-25 15:34:00,130.216.31.108,202.36.29.35,73
2016-01-25 15:34:01,130.216.31.108,202.36.29.35,55
